Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
1, 449.36, 19.3, 3091.99, 52.39
2, 14.32, 12.9, 3095.41, 52.39
3, 11.93, 25.0, 3096.64, 52.39
4, 12.03, 16.7, 3097.87, 52.39
5, 12.09, 22.2, 3097.87, 52.39
6, 11.81, 17.6, 3098.12, 52.39
7, 11.45, 22.2, 3098.36, 52.39
8, 11.53, 26.3, 3098.69, 52.39
9, 11.50, 17.6, 3098.69, 52.39
10, 11.44, 23.5, 3099.18, 52.39
11, 11.47, 31.6, 3099.92, 52.39
12, 11.45, 18.7, 3099.92, 52.39
13, 11.51, 21.1, 3099.92, 52.39
14, 12.18, 22.2, 3099.83, 52.39
15, 12.07, 22.2, 3099.83, 52.39
16, 11.38, 27.8, 3099.83, 52.39
17, 11.45, 17.6, 3099.83, 52.39
18, 11.36, 30.0, 3099.83, 52.39
19, 11.42, 27.8, 3099.83, 52.39
20, 11.38, 17.6, 3099.83, 52.39
21, 11.39, 26.3, 3099.83, 52.39
22, 11.45, 23.5, 3099.91, 52.39
23, 11.25, 17.6, 3099.91, 52.39
24, 11.37, 17.6, 3099.91, 52.39
25, 11.29, 23.5, 3099.91, 52.39
26, 11.33, 23.5, 3100.15, 52.39
27, 11.18, 26.3, 3100.15, 52.39
28, 11.34, 22.2, 3100.06, 52.39
29, 14.53, 25.0, 3100.06, 52.39
30, 11.75, 21.1, 3100.06, 52.39
31, 11.20, 18.7, 3100.06, 52.39
32, 11.33, 21.1, 3099.95, 52.39
33, 11.29, 22.2, 3099.95, 52.39
34, 11.32, 18.7, 3099.95, 52.39
35, 12.37, 28.6, 3100.28, 52.39
36, 11.39, 17.6, 3100.28, 52.39
37, 11.31, 27.8, 3100.28, 52.39
38, 11.17, 17.6, 3100.28, 52.39
39, 11.20, 23.5, 3100.28, 52.39
40, 11.15, 22.2, 3100.28, 52.39
41, 11.05, 17.6, 3100.28, 52.39
42, 11.26, 22.2, 3100.60, 52.39
43, 9.95, 18.7, 3100.60, 52.39
44, 10.55, 31.2, 3100.60, 52.39
45, 10.01, 29.4, 3100.60, 52.39
46, 11.51, 18.7, 3100.85, 52.39
47, 11.46, 26.3, 3100.85, 52.39
48, 11.23, 23.5, 3100.85, 52.39
49, 12.99, 20.0, 3100.84, 52.39
50, 11.09, 18.7, 3100.84, 52.39
51, 11.18, 18.7, 3100.84, 52.39
52, 11.19, 23.5, 3100.84, 52.39
53, 11.25, 23.5, 3100.84, 52.39
54, 11.27, 18.7, 3100.84, 52.39
55, 11.34, 27.8, 3100.84, 52.39
56, 11.28, 23.5, 3100.75, 52.39
57, 10.08, 18.8, 3100.75, 52.39
58, 9.97, 21.4, 3100.75, 52.39
59, 9.93, 20.0, 3100.75, 52.39
60, 9.94, 29.4, 3100.75, 52.39
61, 10.14, 29.4, 3100.75, 52.39
62, 11.13, 20.0, 3100.75, 52.39
63, 11.21, 17.6, 3100.83, 52.39
64, 11.25, 25.0, 3100.83, 52.39
65, 11.25, 18.8, 3100.83, 52.39
66, 11.20, 22.2, 3100.83, 52.39
67, 11.25, 23.5, 3100.83, 52.39
68, 9.90, 20.0, 3100.83, 52.39
69, 9.93, 26.7, 3100.83, 52.39
70, 10.01, 29.4, 3100.67, 52.39
71, 10.06, 29.4, 3100.67, 52.39
72, 9.97, 29.4, 3100.75, 52.39
73, 11.27, 27.8, 3100.64, 52.39
74, 11.32, 20.0, 3100.64, 52.39
75, 11.27, 23.5, 3100.64, 52.39
76, 11.22, 23.5, 3100.64, 52.39
77, 9.89, 20.0, 3100.64, 52.39
78, 9.99, 20.0, 3100.64, 52.39
79, 9.99, 26.7, 3100.64, 52.39
80, 9.97, 25.0, 3100.88, 52.39
81, 10.00, 26.7, 3101.95, 52.39
82, 11.25, 20.0, 3101.95, 52.39
83, 11.21, 30.0, 3101.95, 52.39
84, 11.30, 17.6, 3101.88, 52.39
85, 11.30, 23.5, 3101.88, 52.39
86, 11.17, 25.0, 3101.88, 52.39
87, 11.34, 17.6, 3101.88, 52.39
88, 9.93, 27.8, 3101.95, 52.39
89, 9.90, 29.4, 3101.95, 52.39
90, 10.01, 31.2, 3101.95, 52.39
91, 9.95, 29.4, 3101.89, 52.39
92, 9.91, 20.0, 3101.89, 52.39
93, 10.05, 20.0, 3101.89, 52.39
94, 11.27, 23.5, 3101.89, 52.39
95, 11.33, 26.3, 3101.97, 52.39
96, 11.25, 23.5, 3101.97, 52.39
97, 11.23, 26.3, 3101.84, 52.39
98, 11.24, 18.7, 3101.84, 52.39
99, 11.29, 18.7, 3101.84, 52.39
100, 11.34, 31.6, 3101.84, 52.39
101, 9.97, 18.8, 3101.92, 52.39
102, 9.94, 20.0, 3101.92, 52.39
103, 9.99, 21.4, 3101.85, 52.39
104, 10.03, 25.0, 3101.85, 52.39
105, 9.99, 25.0, 3101.85, 52.39
106, 10.05, 20.0, 3101.85, 52.39
107, 9.95, 20.0, 3101.85, 52.39
108, 10.00, 21.4, 3101.85, 52.39
109, 9.96, 29.4, 3101.93, 52.39
110, 9.89, 14.3, 3101.93, 52.39
111, 10.01, 25.0, 3101.93, 52.39
112, 10.02, 15.4, 3101.93, 52.39
113, 11.08, 29.4, 3101.93, 52.39
114, 10.03, 20.0, 3101.93, 52.39
115, 9.91, 26.7, 3101.93, 52.39
116, 10.00, 25.0, 3101.84, 52.39
117, 10.01, 20.0, 3101.84, 52.39
118, 10.12, 41.2, 3101.84, 52.39
119, 10.06, 26.7, 3101.84, 52.39
120, 9.92, 25.0, 3101.84, 52.39
121, 9.98, 25.0, 3101.84, 52.39
122, 10.02, 14.3, 3101.92, 52.39
123, 9.99, 31.2, 3101.92, 52.39
124, 9.98, 20.0, 3101.92, 52.39
125, 10.01, 20.0, 3101.92, 52.39
126, 10.00, 21.4, 3101.92, 52.39
127, 9.99, 29.4, 3101.92, 52.39
128, 10.06, 21.4, 3101.92, 52.39
129, 10.06, 29.4, 3101.92, 52.39
130, 10.09, 28.6, 3101.92, 52.39
131, 10.02, 21.4, 3102.00, 52.39
132, 9.97, 20.0, 3102.00, 52.39
133, 10.01, 21.4, 3102.00, 52.39
134, 9.87, 26.7, 3102.00, 52.39
135, 9.98, 20.0, 3101.83, 52.39
136, 9.97, 21.4, 3101.83, 52.39
137, 9.96, 26.7, 3101.83, 52.39
138, 10.01, 21.4, 3101.83, 52.39
139, 10.02, 21.4, 3101.83, 52.39
140, 10.04, 20.0, 3101.91, 52.39
141, 9.99, 26.7, 3101.91, 52.39
142, 9.99, 21.4, 3101.91, 52.39
143, 10.06, 20.0, 3101.91, 52.39
144, 10.05, 21.4, 3101.91, 52.39
145, 9.99, 25.0, 3101.91, 52.39
146, 10.03, 21.4, 3101.91, 52.39
147, 10.05, 29.4, 3101.79, 52.39
148, 10.02, 21.4, 3101.87, 52.39
149, 10.01, 21.4, 3101.87, 52.39
150, 9.96, 29.4, 3101.87, 52.39
151, 9.97, 15.4, 3101.87, 52.39
152, 9.95, 26.7, 3101.87, 52.39
153, 9.99, 26.7, 3101.87, 52.39
154, 9.93, 21.4, 3101.87, 52.39
155, 9.96, 20.0, 3101.87, 52.39
156, 9.90, 31.2, 3101.87, 52.39
157, 9.94, 20.0, 3101.87, 52.39
158, 9.96, 33.3, 3102.18, 52.39
159, 10.01, 26.7, 3102.18, 52.39
160, 10.06, 21.4, 3102.18, 52.39
161, 10.01, 26.7, 3102.18, 52.39
162, 10.01, 21.4, 3102.18, 52.39
163, 10.02, 26.7, 3102.18, 52.39
164, 10.02, 20.0, 3102.18, 52.39
165, 10.01, 21.4, 3102.18, 52.39
166, 10.02, 21.4, 3102.18, 52.39
167, 10.02, 20.0, 3102.18, 52.39
168, 9.99, 20.0, 3101.97, 52.39
169, 10.04, 21.4, 3101.97, 52.39
170, 9.89, 21.4, 3101.97, 52.39
171, 10.07, 26.7, 3101.97, 52.39
172, 9.95, 26.7, 3101.97, 52.39
173, 9.98, 21.4, 3101.97, 52.39
174, 10.01, 21.4, 3101.97, 52.39
175, 10.03, 29.4, 3101.97, 52.39
