Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
1, 464.98, 19.3, 3096.41, 52.39
2, 14.64, 25.0, 3100.84, 52.39
3, 12.29, 34.8, 3102.07, 52.39
4, 12.26, 23.8, 3102.81, 52.39
5, 12.27, 28.6, 3102.81, 52.39
6, 12.09, 25.0, 3102.81, 52.39
7, 11.82, 21.1, 3102.85, 52.39
8, 11.83, 30.0, 3102.85, 52.39
9, 11.90, 26.3, 3102.85, 52.39
10, 11.74, 26.3, 3102.85, 52.39
11, 11.84, 28.6, 3102.85, 52.39
12, 11.71, 33.3, 3102.88, 52.39
13, 11.61, 30.0, 3102.88, 52.39
14, 11.59, 29.4, 3102.88, 52.39
15, 12.43, 26.3, 3102.88, 52.39
16, 11.77, 26.3, 3102.88, 52.39
17, 11.78, 25.0, 3102.80, 52.39
18, 11.68, 33.3, 3102.80, 52.39
19, 11.64, 26.3, 3102.80, 52.39
20, 11.59, 31.6, 3102.80, 52.39
21, 11.71, 30.0, 3102.80, 52.39
22, 11.51, 30.0, 3102.88, 52.39
23, 11.99, 36.8, 3103.12, 52.39
24, 11.66, 36.0, 3103.06, 52.39
25, 11.64, 30.0, 3103.06, 52.39
26, 11.71, 25.0, 3103.06, 52.39
27, 11.73, 33.3, 3103.06, 52.39
28, 11.78, 28.6, 3103.38, 52.39
29, 14.77, 27.3, 3103.38, 52.39
30, 11.70, 21.1, 3103.38, 52.39
31, 11.72, 33.3, 3103.38, 52.39
32, 11.79, 22.2, 3103.38, 52.39
33, 11.63, 27.3, 3103.46, 52.39
34, 11.60, 26.3, 3103.46, 52.39
35, 11.65, 30.0, 3103.46, 52.39
36, 11.60, 22.2, 3103.46, 52.39
37, 11.68, 26.3, 3103.46, 52.39
38, 11.69, 26.3, 3103.37, 52.39
39, 11.62, 22.2, 3103.37, 52.39
40, 11.77, 22.2, 3103.37, 52.39
41, 11.66, 26.3, 3103.37, 52.39
42, 11.73, 28.6, 3103.33, 52.39
43, 11.73, 30.0, 3103.41, 52.39
44, 11.77, 33.3, 3103.41, 52.39
45, 11.44, 26.3, 3103.41, 52.39
46, 11.62, 22.2, 3103.41, 52.39
47, 11.75, 31.6, 3103.41, 52.39
48, 11.64, 26.3, 3103.41, 52.39
49, 13.32, 28.6, 3103.41, 52.39
50, 11.69, 27.8, 3103.48, 52.39
51, 11.63, 36.4, 3103.48, 52.39
52, 11.61, 25.0, 3103.48, 52.39
53, 11.57, 31.6, 3103.48, 52.39
54, 11.78, 40.0, 3104.71, 52.39
55, 11.73, 30.0, 3104.71, 52.39
56, 11.68, 22.2, 3104.62, 52.39
57, 11.62, 26.3, 3104.62, 52.39
58, 11.70, 31.6, 3104.62, 52.39
59, 11.59, 30.0, 3104.62, 52.39
