Frame,Total_Inf(ms),YOLO(ms),ResNet(ms),UNet(ms),RAM(MB)
1,2125.23,1513.94,142.07,469.19,3011.05
2,237.18,39.89,13.29,183.98,3032.82
3,248.37,42.64,13.15,192.57,3068.57
4,242.43,41.85,13.73,186.84,3097.44
5,238.97,40.65,13.13,185.18,3142.25
6,228.70,41.09,13.16,174.43,3145.75
7,242.05,41.22,13.15,187.66,3163.63
8,235.00,41.37,13.18,180.43,3169.44
9,222.75,38.58,13.18,170.98,3173.45
10,226.42,41.21,13.04,172.17,3175.34
11,228.54,40.58,13.06,174.89,3177.68
12,253.09,41.04,14.37,197.66,3178.08
13,227.27,38.33,13.24,175.68,3178.08
14,228.64,38.86,14.01,175.76,3182.05
15,225.55,38.35,13.13,174.05,3183.29
16,224.86,38.60,14.43,171.80,3185.89
17,224.03,37.98,13.07,172.97,3186.81
18,218.66,38.40,13.36,166.88,3189.52
19,224.87,40.72,13.11,171.02,3189.52
20,235.02,38.27,13.31,183.42,3190.65
21,244.99,40.39,13.18,191.41,3190.65
22,224.42,38.15,13.09,173.16,3191.89
23,245.30,38.12,13.28,193.88,3107.55
24,238.33,43.62,13.49,181.20,3111.23
25,230.53,41.48,13.51,175.52,3112.95
26,223.11,39.43,13.16,170.50,3115.20
27,231.28,41.13,13.18,176.94,3121.12
28,232.52,38.81,12.95,180.74,3130.23
29,228.42,41.19,13.19,174.02,3144.26
30,243.87,40.94,13.03,189.89,3145.00
31,224.68,40.32,13.09,171.25,3145.50
32,231.26,38.77,13.22,179.25,3176.27
33,224.03,38.11,13.03,172.87,3177.25
34,224.36,37.95,13.10,173.30,3177.50
35,222.18,37.96,13.17,171.02,3180.68
36,220.68,38.01,13.16,169.49,3182.16
37,224.32,38.06,13.03,173.22,3182.65
38,217.95,38.35,13.15,166.43,3185.11
39,241.75,38.69,13.35,189.69,3185.84
40,225.24,39.17,13.07,172.99,3186.33
41,222.07,38.76,13.13,170.16,3186.82
42,219.80,38.79,13.41,167.57,3187.06
43,220.88,38.67,13.12,169.08,3187.06
44,209.88,38.64,12.76,158.46,3187.55
45,224.67,39.30,13.23,172.12,3189.52
46,222.10,41.11,13.23,167.75,3189.77
47,224.91,40.58,13.17,171.15,3189.77
48,247.63,41.39,13.24,192.98,3191.49
49,226.05,38.88,13.19,173.95,3193.46
50,222.50,38.11,13.12,171.25,3193.46
51,239.44,38.15,13.25,188.02,3111.54
52,231.76,41.00,13.34,177.41,3135.37
53,226.81,40.37,13.69,172.73,3159.51
54,226.03,40.42,13.30,172.30,3165.17
55,230.89,38.23,13.12,179.52,3176.25
56,228.53,40.84,13.12,174.55,3190.52
57,246.48,38.47,13.36,194.63,3193.45
58,225.18,38.72,13.05,173.40,3193.69
