Frame,Preprocess (ms),Inference (ms),Postprocess (ms)
0,8.05,265.90,36.60
1,7.47,51.47,6.66
2,4.86,47.95,8.75
3,6.28,54.75,5.98
4,5.05,39.20,6.05
5,5.35,61.90,7.03
6,6.83,61.04,6.36
7,5.07,39.02,5.85
8,5.22,36.87,5.83
9,5.00,38.61,5.79
10,5.25,39.58,5.93
11,5.07,39.83,5.55
12,4.98,37.29,5.67
13,5.15,39.49,1.49
14,5.41,39.87,1.43
15,5.16,35.49,1.43
16,5.27,37.59,1.49
17,5.41,39.22,5.94
18,5.00,37.32,5.51
19,4.98,38.84,5.55
20,5.21,39.67,5.75
21,5.48,39.63,5.52
22,4.93,37.89,5.62
23,4.94,38.99,5.56
24,5.17,39.52,5.55
25,5.23,39.66,5.53
26,4.96,36.99,5.59
27,4.96,38.83,5.79
28,5.24,38.60,5.44
29,4.89,37.27,5.74
30,5.11,38.97,5.75
31,5.12,39.61,5.98
32,5.24,38.25,5.68
33,4.90,37.75,5.76
34,5.28,39.86,5.97
35,5.10,39.63,5.67
36,4.96,37.35,5.94
37,5.11,39.36,6.31
38,5.31,39.37,5.67
39,4.81,37.37,5.87
40,5.25,39.67,5.96
41,5.17,38.50,5.69
42,4.98,37.34,5.85
43,5.09,39.39,5.88
44,5.19,40.76,5.87
45,5.26,39.75,5.89
46,5.27,36.73,5.56
47,4.92,39.01,5.78
48,5.19,39.74,5.77
49,5.09,40.57,5.84
50,4.88,37.32,5.73
51,5.08,38.89,5.70
52,5.25,40.44,5.51
53,5.04,39.53,5.44
54,4.90,37.13,5.50
55,5.13,38.82,5.63
56,5.32,36.38,5.55
57,4.75,38.98,5.49
58,5.12,38.83,5.58
59,5.18,39.61,5.60
60,5.29,39.26,5.51
61,4.82,37.21,5.56
62,5.15,39.06,5.67
63,5.22,39.58,5.58
64,5.28,39.56,5.44
65,4.80,38.66,5.62
66,5.05,38.81,5.66
67,5.22,39.88,5.53
68,5.26,39.56,5.50
69,4.77,38.93,5.71
70,5.10,38.83,5.62
71,5.29,39.57,5.53
72,5.06,39.54,5.40
73,4.92,37.39,5.59
74,5.12,40.49,5.85
75,5.25,40.00,5.62
76,5.33,39.32,5.41
77,4.92,37.14,5.57
78,5.10,38.82,5.56
79,5.30,38.48,5.49
80,4.80,37.27,5.43
81,5.08,38.87,5.56
82,5.23,38.93,5.39
83,4.94,37.21,5.74
84,4.99,38.10,5.62
85,5.19,40.46,5.90
86,5.25,40.06,5.57
87,4.79,37.43,5.78
88,5.12,38.90,5.76
89,5.25,40.43,5.81
90,5.30,38.89,5.68
91,5.01,37.27,5.70
92,5.10,39.03,5.83
93,5.30,39.66,5.85
94,4.96,37.29,6.05
95,4.96,39.12,5.94
96,5.19,39.62,5.78
97,4.96,37.43,5.85
98,5.25,39.78,6.19
99,5.14,36.94,5.69
100,4.96,37.36,5.84
101,5.13,37.86,5.91
102,4.99,38.91,5.89
103,5.21,39.68,5.95
104,5.48,37.22,5.65
105,4.82,39.03,5.89
106,5.33,39.79,5.66
107,5.21,39.77,5.81
108,5.25,38.10,5.52
109,4.80,36.90,5.52
110,5.06,39.09,1.46
111,5.38,37.83,5.53
112,4.98,37.60,5.65
113,5.20,39.12,5.75
114,5.21,40.55,5.77
115,5.22,39.23,5.66
116,4.93,37.29,5.52
117,4.94,39.17,5.98
118,5.21,39.68,5.51
119,5.20,39.44,5.47
120,4.95,38.89,5.71
121,5.20,39.01,5.85
122,5.22,39.71,5.80
123,5.24,36.80,5.66
124,4.97,37.59,5.88
125,4.98,40.49,5.86
126,5.20,40.44,5.85
127,5.24,39.88,5.78
128,5.25,39.35,5.67
129,4.82,37.31,5.81
130,5.08,38.88,5.95
131,5.21,39.59,5.96
132,5.51,39.87,6.43
133,5.10,39.87,6.25
134,5.21,37.05,5.67
135,4.92,37.39,5.98
136,5.16,38.88,5.85
137,5.11,39.65,5.81
138,5.22,39.60,5.74
139,5.24,40.10,5.71
140,4.96,36.86,5.74
141,5.24,39.12,5.71
142,5.23,40.54,5.72
143,5.25,39.01,5.70
144,4.93,37.40,5.71
145,5.12,38.94,5.80
146,5.25,39.74,5.59
147,5.24,39.59,5.33
148,4.82,38.88,5.60
149,5.06,38.81,5.58
150,5.21,37.05,5.37
151,4.97,37.36,5.49
152,4.97,38.99,5.58
153,5.22,39.73,5.53
154,5.21,39.61,5.55
155,4.95,37.31,5.45
156,4.94,39.01,5.61
157,5.19,38.02,5.45
158,4.91,37.32,5.56
159,5.10,38.96,5.52
160,5.11,39.63,5.53
161,5.23,40.07,5.45
162,4.93,37.31,5.62
163,5.17,38.93,5.58
164,5.08,39.67,5.72
165,5.18,39.64,5.44
166,4.89,36.88,5.67
167,5.10,38.86,5.80
168,5.23,38.06,5.45
169,4.92,37.45,5.64
170,5.10,39.33,5.62
171,5.04,39.60,5.55
172,5.24,38.60,5.47
173,4.95,37.36,5.62
174,5.10,39.00,5.64
175,5.11,37.50,5.36
176,4.91,38.99,5.52
177,5.06,38.94,5.67
178,5.30,39.68,5.78
179,5.09,38.87,5.66
180,4.94,37.37,5.83
181,5.44,39.63,5.76
182,5.30,39.56,5.72
183,4.80,38.86,5.75
184,5.10,39.03,5.75
185,5.21,39.65,5.85
186,5.27,39.66,5.74
187,5.05,37.50,6.04
188,5.23,40.07,5.99
189,5.28,37.30,5.80
190,4.80,37.75,6.03
191,5.09,37.89,5.98
192,5.09,39.09,5.98
193,5.27,39.65,5.79
194,5.06,39.75,5.94
195,5.24,38.44,5.57
196,4.93,39.13,5.89
197,5.36,39.10,5.79
198,5.12,39.91,5.79
199,5.23,38.16,5.54
200,4.92,38.90,5.74
201,5.13,39.14,5.70
202,5.11,39.66,5.74
203,5.26,38.39,1.47
204,5.06,37.28,5.68
205,5.14,40.53,5.83
206,5.05,36.80,5.66
207,4.89,39.03,5.83
208,5.09,39.72,5.54
209,5.21,39.69,6.01
210,5.11,38.48,5.49
211,4.98,37.41,5.51
212,5.11,37.81,5.57
213,5.13,40.53,5.55
214,5.22,39.99,5.75
215,5.24,38.01,5.53
216,4.93,37.45,5.59
217,4.94,40.72,5.81
218,5.22,39.73,5.69
219,5.23,39.37,5.64
220,4.95,37.40,6.01
221,5.12,39.62,5.95
222,5.22,39.74,5.80
223,4.97,37.56,5.85
224,5.11,39.60,6.38
225,5.27,37.83,6.17
226,5.12,37.84,6.47
227,5.30,39.63,6.42
228,5.26,39.67,6.17
229,5.20,36.99,5.74
230,4.91,37.32,5.86
231,5.13,38.95,6.28
232,5.13,39.66,5.77
233,4.95,37.38,5.86
234,5.21,39.00,5.90
235,5.24,39.58,5.93
236,5.09,39.63,5.70
237,5.20,40.30,5.75
238,5.07,37.75,5.71
239,5.11,40.55,5.81
240,5.08,39.69,5.70
241,5.22,38.51,5.67
242,4.93,37.46,5.83
243,5.11,40.41,5.87
244,5.10,39.70,5.73
245,5.36,38.40,5.64
246,4.97,37.60,5.70
247,5.02,40.73,5.82
248,5.25,39.77,5.62
249,5.27,39.64,5.61
250,5.09,39.65,5.72
251,5.24,39.72,5.80
252,5.19,39.62,5.46
253,4.96,36.48,5.59
254,5.10,39.13,5.57
255,5.21,39.42,5.35
256,4.96,38.87,5.65
257,5.10,38.84,5.57
258,5.23,36.97,5.45
259,4.96,37.41,5.57
260,4.98,39.03,5.52
261,5.22,39.62,5.52
262,5.21,39.68,5.46
263,4.95,37.25,5.59
264,4.96,38.94,5.59
265,5.21,36.63,5.40
266,4.89,37.52,5.49
267,5.13,40.73,5.58
268,5.11,39.82,5.74
269,5.27,39.68,5.59
270,4.93,36.31,5.89
271,5.13,39.47,5.83
272,5.07,38.92,5.75
273,5.28,39.84,5.78
274,5.25,38.41,5.70
275,5.00,37.59,5.70
276,5.03,40.64,5.82
277,5.26,39.74,5.80
278,4.94,37.35,6.07
279,5.22,39.52,6.35
280,5.12,39.10,5.83
281,4.91,37.43,6.08
282,5.25,39.72,6.30
283,5.12,38.62,5.69
284,5.08,37.73,5.85
285,5.12,37.92,5.88
286,5.13,39.06,6.15
287,5.12,39.62,5.83
288,5.21,39.68,5.75
289,5.26,38.54,5.58
290,5.14,39.08,5.67
291,5.03,38.79,5.70
292,5.20,40.90,5.73
293,5.32,36.91,5.45
294,4.82,37.55,5.68
295,5.08,39.05,5.52
296,5.21,39.67,5.55
297,5.28,39.65,5.67
298,5.22,38.25,5.50
299,4.89,37.53,5.53
300,5.11,39.07,5.63
301,5.17,39.60,5.61
302,5.19,40.05,5.42
303,4.91,37.49,5.66
304,5.13,39.18,5.60
305,5.10,40.56,5.77
306,5.36,39.59,5.53
307,4.90,37.35,5.77
308,5.10,39.01,5.75
309,5.11,39.62,5.84
310,5.26,38.75,5.85
311,4.94,37.47,5.92
312,5.17,39.44,6.06
313,5.25,39.63,5.80
314,4.97,37.50,6.00
315,5.18,39.05,6.68
316,5.11,39.88,6.62
317,5.24,39.66,6.58
318,5.30,39.94,6.51
319,5.33,39.63,6.20
320,5.27,39.69,5.85
321,5.26,37.80,5.68
322,4.97,37.52,5.78
323,4.99,39.12,5.72
324,5.19,39.68,5.79
325,5.28,38.22,5.66
326,5.03,39.24,5.73
327,5.11,39.77,5.72
328,5.22,39.66,5.71
329,5.23,39.59,5.53
330,5.23,41.14,5.83
331,4.91,37.43,5.65
332,5.26,38.87,5.48
333,5.39,37.70,5.43
334,4.89,39.06,5.64
335,5.25,39.07,5.69
336,5.38,39.90,5.62
337,5.42,38.36,5.42
338,5.01,37.60,5.60
339,5.27,38.97,5.53
340,5.44,39.60,5.56
341,5.20,39.59,5.57
342,5.01,36.64,5.47
343,5.13,40.79,5.80
344,5.29,38.76,5.56
345,4.98,37.57,5.64
346,5.19,39.43,5.71
347,5.36,40.60,5.79
348,5.29,39.18,5.53
349,4.94,37.64,5.70
350,5.19,39.12,5.83
351,5.09,39.59,5.85
352,5.34,39.82,5.88
353,4.95,37.80,5.76
354,5.09,39.62,5.79
355,5.19,39.58,5.99
356,5.29,40.93,5.84
357,5.36,37.57,5.75
358,4.84,37.65,5.89
359,5.56,39.68,5.83
360,5.27,39.62,5.91
361,4.97,39.09,6.04
362,5.04,39.20,5.82
363,5.29,39.68,5.96
364,5.24,39.67,6.65
365,5.38,39.82,6.70
366,5.15,39.69,5.95
367,5.26,39.63,5.96
368,5.39,37.80,5.90
369,5.03,37.82,6.10
370,5.35,39.65,6.70
371,5.39,39.95,6.40
372,5.43,36.71,5.98
373,4.98,37.97,6.00
374,5.59,39.83,6.53
375,5.28,39.66,5.92
376,5.37,39.14,5.84
377,5.12,38.56,5.94
378,5.29,39.81,5.86
379,5.34,40.59,5.72
380,5.15,37.50,5.45
381,4.95,37.42,5.50
382,5.22,40.71,1.53
383,5.55,39.11,5.47
384,4.94,37.82,5.71
385,5.37,39.02,5.68
386,5.45,39.66,5.68
387,5.50,39.19,5.69
388,4.97,39.26,5.64
389,5.27,39.63,5.66
390,5.58,38.19,5.87
391,4.91,37.49,5.53
392,5.14,39.23,5.64
393,5.43,39.11,6.54
394,4.89,38.06,5.74
395,5.36,39.81,5.75
